Secuencial;Fecha de Análisis;Departamento;Municipio;Cultivo;Estado;Tiempo de establecimiento;Topografia;Drenaje;Riego;Fertilizantes aplicados;pH agua:suelo;Materia organica;Fósforo Bray II;Azufre Fosfato monocalcico;Acidez Intercambiable;Aluminio intercambiable;Calcio intercambiable;Magnesio intercambiable;Potasio intercambiable;Sodio intercambiable;capacidad de intercambio cationico;Conductividad electrica;Hierro disponible olsen;Cobre disponible;Manganeso disponible Olsen;Zinc disponible Olsen;Boro disponible;Hierro disponible doble acido;Cobre disponible doble acido;Manganeso disponible doble acido;Zinc disponible doble  acido
15.104;23/12/2015;SANTANDER;VÉLEZ;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;SI (15-15-15);5.48;6.420;3.063;12.64;0;0;14.79;1.903;0.339;0.552;17.59;0.253;272.7;3.817;9.112;9.317;0.378;ND;ND;ND;ND
15.157;23/12/2015;SANTANDER;VÉLEZ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI (15-15-15);6.3;5.434;8.395;4.700;ND;ND;16.86;1.549;0.410;0.727;19.55;0.205;260.0;2.513;2.674;3.269;0.504;ND;ND;ND;ND
15.158;23/12/2015;SANTANDER;VÉLEZ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;7.44;14.65;8.410;9.371;ND;ND;2.396;0.835;0.263;0.967;4.462;0.426;53.95;< 1.0;4.320;1.423;0.428;ND;ND;ND;ND
15.159;23/12/2015;SANTANDER;VÉLEZ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;4.79;11.20;50.28;14.82;2.893;2.153;5.585;0.926;0.262;0.748;10.41;0.203;1002.;5.073;7.934;13.75;0.201;ND;ND;ND;ND
15.163;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI;4.900;12.33;10.35;10.30;2.508;1.926;3.359;0.459;0.371;0.340;7.039;0.261;910.0;1.45;5.044;3.346;0.656;ND;ND;ND;ND
15.164;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI (15-15-15);6.28;9.213;21.65;16.68;ND;ND;12.47;0.670;0.120;0.642;13.90;0.291;344.7;2.549;12.11;6.647;0.327;ND;ND;ND;ND
15.165;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;4.849;6.562;2.760;4.078;4.075;3.276;4.939;0.965;0.212;0.841;11.03;0.221;510.7;2.085;25.63;4.214;0.201;ND;ND;ND;ND
15.166;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;4.79;5.379;10.50;8.437;3.287;2.627;5.068;1.730;0.226;0.753;11.06;0.206;405.5;2.685;30.34;6.697;0.252;ND;ND;ND;ND
15.167;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;5.05;7.556;22.19;2.521;1.316;0.824;7.576;0.633;0.296;0.869;10.69;0.189;370.8;2.368;23.30;5.346;0.353;ND;ND;ND;ND
15.173;23/12/2015;SANTANDER;SUAITA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;5.23;10.49;3.154;7.347;0.692;0.443;7.881;1.093;0.177;0.346;10.19;1.128;454.0;1.039;11.16;1.37;0.353;ND;ND;ND;ND
15.174;23/12/2015;SANTANDER;SUAITA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;4.87;9.449;2.442;7.658;4.979;4.410;2.065;0.442;0.152;0.339;7.979;0.209;680.0;1.015;10.48;< 1.0;0.277;ND;ND;ND;ND
15.177;23/12/2015;SANTANDER;SUAITA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI (15-15-15);4.480;4.527;4.108;4.700;8.103;7.697;1.233;0.628;0.262;0.371;10.59;0.194;349.4;2.424;3.599;2.162;0.631;ND;ND;ND;ND
15.178;23/12/2015;SANTANDER;SUAITA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI (15-15-15);5.16;8.787;4.078;5.167;1.941;1.483;7.228;1.507;0.229;0.481;11.38;0.243;532.2;1.411;5.012;1.905;0.706;ND;ND;ND;ND
15.179;23/12/2015;SANTANDER;SUAITA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI (15-15-15);6.42;7.982;4.790;6.257;ND;ND;16.36;1.876;0.230;0.438;18.90;0.236;85.17;< 1.0;3.978;2.968;0.555;ND;ND;ND;ND
15.180;23/12/2015;SANTANDER;SUAITA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;5;7.935;4.669;5.323;3.220;2.400;5.388;0.748;0.207;0.421;9.986;0.208;497.3;3.266;19.02;5.983;0.479;ND;ND;ND;ND
15.183;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;6.25;12.10;8.001;7.347;ND;ND;0.852;0.448;0.534;0.257;2.092;0.397;92.25;< 1.0;3.501;3.387;0.277;ND;ND;ND;ND
15.186;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;5.54;3.343;16.69;7.347;ND;ND;8.004;2.174;0.325;0.829;11.33;0.138;100.7;< 1.0;4.858;1.333;0.504;ND;ND;ND;ND
15.188;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;No indica;No indica;No Tiene;NO;5.28;9.497;8.304;2.676;0.990;0.700;13.93;1.229;0.276;0.889;17.31;0.222;507.4;1.831;7.399;2.105;0.327;ND;ND;ND;ND
15.189;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;4.99;7.035;6.153;2.209;4.479;3.555;1.648;0.371;0.124;0.841;7.466;0.152;581.5;1.331;4.609;< 1.0;0.378;ND;ND;ND;ND
15.191;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;6.64;9.970;8.077;2.832;ND;ND;15.73;1.650;0.167;0.941;18.49;0.618;120.9;1.380;4.742;2.572;0.504;ND;ND;ND;ND
15.192;23/12/2015;SANTANDER;SAN BENITO;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;7.33;10.82;4.548;6.724;ND;ND;20.61;1.225;0.365;0.911;23.11;0.981;77.95;1.456;7.705;2.423;0.454;ND;ND;ND;ND
15.194;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;5.41;7.367;26.10;2.365;1.220;0.855;5.599;2.436;0.600;0.940;10.79;0.161;449.6;4.762;7.602;30.28;0.378;ND;ND;ND;ND
15.195;23/12/2015;SANTANDER;SAN BENITO;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;6.29;13.14;12.30;3.610;ND;ND;17.90;1.185;0.353;0.860;20.30;0.318;85.34;1.597;3.081;2.723;0.428;ND;ND;ND;ND
15.196;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;SI;5.099;7.177;3.411;3.455;1.912;1.360;5.925;0.438;0.225;1.008;9.511;0.196;357.5;1.396;18.00;1.274;0.732;ND;ND;ND;ND
15.197;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;4.51;5.663;15.74;5.946;5.575;4.884;2.105;0.309;0.148;0.776;8.914;0.269;506.9;1.832;12.52;2.147;0.327;ND;ND;ND;ND
15.198;23/12/2015;SANTANDER;SAN BENITO;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;5.34;4.858;8.350;18.55;0.817;0.535;7.921;2.273;0.250;0.982;12.24;0.233;382.0;3.653;18.75;8.61;0.327;ND;ND;ND;ND
15.199;23/12/2015;SANTANDER;SAN BENITO;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;8;4.763;1.624;10.14;ND;ND;17.14;0.984;0.131;0.829;19.08;0.722;88.48;8.887;1.245;62.21;0.706;ND;ND;ND;ND
15.201;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI (15-15-15);6.37;7.091;7.214;10.92;ND;ND;1.331;0.583;0.396;0.345;2.657;0.460;211.7;1.369;4.730;10.84;0.479;ND;ND;ND;ND
15.202;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI (15-15-15);6.46;7.745;15.92;8.437;ND;ND;12.36;0.880;0.166;0.522;13.93;0.194;227.3;2.467;6.435;3.418;0.327;ND;ND;ND;ND
15.204;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;SI;5.13;9.733;5.214;7.191;1.595;1.339;6.893;1.484;0.213;0.494;10.68;0.216;425.5;2.141;9.746;6.356;0.327;ND;ND;ND;ND
15.206;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI;4.54;9.875;33.33;18.08;4.181;3.606;1.231;0.564;0.311;0.481;6.770;0.322;534.7;1.343;3.977;2.546;0.226;ND;ND;ND;ND
15.208;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;5.32;6.136;10.50;5.790;0.124;0;9.945;2.144;0.180;1.204;13.59;0.287;275.8;1.998;9.312;4.583;0.353;ND;ND;ND;ND
15.212;23/12/2015;SANTANDER;CHIPATÁ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;7.82;11.20;28.78;3.610;ND;ND;8.276;0.639;0.205;0.779;9.901;0.480;37.41;< 1.0;1.802;< 1.0;0.252;ND;ND;ND;ND
15.213;23/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI (15-15-15);6.04;7.982;10.60;3.610;ND;ND;17.25;0.950;0.188;0.968;19.36;0.245;261.0;1.778;3.201;3.552;0.555;ND;ND;ND;ND
15.214;23/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;5.34;8.550;6.381;4.078;0.576;0.329;14.40;0.695;0.242;0.858;16.77;0.211;531.3;1.187;4.791;2.339;0.631;ND;ND;ND;ND
15.215;23/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;5.34;6.609;66.06;3.922;0.201;0.164;5.744;0.917;0.120;0.732;7.715;0.232;567.2;2.258;6.513;3.921;0.428;ND;ND;ND;ND
15.216;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;5.39;9.591;39.95;4.078;0.499;0.226;5.976;0.864;0.328;0.801;8.469;0.284;358.9;1.329;3.066;5.034;0.504;ND;ND;ND;ND
15.217;23/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;5.82;5.852;37.87;2.365;ND;ND;8.754;0.972;0.256;0.789;10.77;0.213;298.7;1.653;2.922;1.43;0.580;ND;ND;ND;ND
15.218;23/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;7.39;13.28;29.95;2.209;ND;ND;7.516;2.760;0.348;0.831;11.45;0.503;47.35;< 1.0;1.322;1.139;0.757;ND;ND;ND;ND
15.219;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;6.66;14.42;13.74;2.209;ND;ND;4.565;1.187;0.343;0.803;6.900;0.310;45.08;< 1.0;2.084;1.673;0.428;ND;ND;ND;ND
15.220;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;7.07;6.136;11.54;4.856;ND;ND;11.60;0.545;0.247;0.795;13.19;0.710;40.69;< 1.0;2.37;< 1.0;0.353;ND;ND;ND;ND
15.221;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;5.09;6.515;23.71;6.257;2.364;1.896;4.350;0.562;0.268;0.805;8.352;0.161;527.1;< 1.0;3.327;1.414;0.580;ND;ND;ND;ND
15.222;23/12/2015;SANTANDER;VÉLEZ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;NO;5.81;7.698;41.19;4.233;ND;ND;13.77;1.284;0.339;0.613;16.01;0.249;579.2;1.046;2.62;1.539;0.226;ND;ND;ND;ND
15.223;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI (15-15-15);4.599;11.48;11.97;8.281;3.844;3.039;0.403;0.296;0.176;0.501;5.222;0.350;171.6;1.228;< 1.0;2.927;0.226;ND;ND;ND;ND
15.224;23/12/2015;SANTANDER;VÉLEZ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;6.5;6.500;40.28;7.036;ND;ND;17.15;2.723;0.670;0.857;21.41;0.375;277.7;2.743;3.931;7.802;0.706;ND;ND;ND;ND
15.225;23/12/2015;SANTANDER;CHIPATÁ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;4.75;6.846;9.516;20.73;2.114;1.648;8.384;1.837;0.411;0.750;13.49;0.346;702.9;4.887;24.48;9.391;0.454;ND;ND;ND;ND
15.226;23/12/2015;SANTANDER;VÉLEZ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;5.85;5.363;3.320;3.766;ND;ND;18.04;1.024;0.261;0.714;20.04;0.205;160.1;1.716;3.081;5.716;0.353;ND;ND;ND;ND
15.227;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI (10-20-20);5.2;5.568;5.759;4.856;0.528;0.412;11.63;1.035;0.269;0.592;14.05;0.203;406.3;1.980;4.482;2.751;0.327;ND;ND;ND;ND
15.228;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI;4.889;5.947;33.48;8.904;2.009;1.731;3.659;0.611;0.355;0.834;7.469;0.199;703.4;1.307;5.474;1.925;0.605;ND;ND;ND;ND
15.229;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI (15-15-15);4.389;9.828;16.78;9.527;7.199;6.265;1.237;0.551;0.445;0.470;9.905;0.226;916.8;2.566;2.16;4.668;0.277;ND;ND;ND;ND
15.230;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI (15-15-15);7.81;12.76;13.28;7.814;ND;ND;19.84;1.199;0.389;0.604;22.04;0.618;45.21;< 1.0;2.495;< 1.0;0.504;ND;ND;ND;ND
15.231;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;SI (18-18-18);4.84;7.603;8.926;7.503;2.739;2.246;2.585;0.531;0.172;0.755;6.784;0.170;570.3;1.008;2.393;1.409;0.403;ND;ND;ND;ND
15.232;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI (18-18-18);5.6;11.29;15.54;8.437;ND;ND;12.47;0.671;0.179;0.845;14.17;0.258;620.4;2.003;8.766;6.465;0.428;ND;ND;ND;ND
15.233;23/12/2015;SANTANDER;VÉLEZ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;5.71;8.976;8.198;7.970;ND;ND;13.11;1.650;0.346;0.726;15.83;0.183;513.0;1.792;13.19;3.559;0.302;ND;ND;ND;ND
15.234;23/12/2015;SANTANDER;GÜEPSA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI (15-15-15);5.83;12.90;3.593;5.479;ND;ND;19.57;1.957;0.399;1.007;22.94;0.245;171.2;1.282;2.509;9.24;0.302;ND;ND;ND;ND
15.235;23/12/2015;SANTANDER;CHIPATÁ;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;7.44;12.29;13.95;3.922;ND;ND;9.190;1.145;0.447;1.084;11.86;0.683;54.82;< 1.0;4.081;1.237;0.353;ND;ND;ND;ND
15.236;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;5.38;13.66;10.03;6.880;3.018;2.596;2.085;0.537;0.118;0.805;6.565;0.289;360.8;1.111;2.758;2.288;0.327;ND;ND;ND;ND
15.237;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;5.44;9.544;10.01;5.790;1.778;1.298;3.954;0.424;0.175;1.112;7.444;0.241;239.3;< 1.0;2.1;1.526;0.302;ND;ND;ND;ND
15.239;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;7.06;8.361;73.65;6.101;ND;ND;20.25;1.256;0.356;0.575;22.44;0.302;84.19;1.064;3.024;1.149;0.428;ND;ND;ND;ND
15.240;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;4.55;7.414;9.365;4.700;5.642;5.049;1.834;0.477;0.212;0.604;8.771;0.238;653.3;2.097;4.905;3.386;0.353;ND;ND;ND;ND
15.242;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;4.7;4.716;25.36;3.766;4.104;3.452;4.000;1.275;0.289;0.730;10.40;0.211;423.7;2.068;10.43;3.219;0.201;ND;ND;ND;ND
15.243;23/12/2015;SANTANDER;SUAITA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;No indica;4.83;5.805;7.244;5.790;2.258;1.700;7.766;1.148;0.186;0.636;11.99;0.242;572.4;2.503;18.25;3.309;0.479;ND;ND;ND;ND
15.244;23/12/2015;SANTANDER;SUAITA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;4.67;8.739;37.72;6.413;4.085;3.421;1.327;0.400;0.247;0.475;6.536;0.259;928.5;< 1.0;8.510;2.085;0.378;ND;ND;ND;ND
15.246;23/12/2015;SANTANDER;SUAITA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;5.28;7.130;6.396;4.856;0.403;0.164;3.937;1.034;0.107;0.451;5.933;0.217;282.1;2.290;13.18;2.98;0.504;ND;ND;ND;ND
15.247;23/12/2015;SANTANDER;SUAITA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;SI;5.23;7.130;4.532;7.503;0.817;0.546;7.206;1.761;0.269;0.470;10.52;0.205;325.8;1.373;7.187;2.177;0.353;ND;ND;ND;ND
15.250;23/12/2015;SANTANDER;SUAITA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;5.28;5.663;29.83;3.922;0.961;0.546;6.595;0.851;0.119;0.630;9.157;0.210;515.8;1.537;8.926;2.172;0.681;ND;ND;ND;ND
15.253;23/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Plano;No indica;No Tiene;SI (18-18-18);5.019;4.716;4.305;5.790;3.124;2.689;3.660;0.584;0.250;0.428;8.048;0.116;287.3;1.016;7.227;1.214;0.302;ND;ND;ND;ND
15.254;23/12/2015;SANTANDER;VÉLEZ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;6.2;8.929;3.684;5.323;ND;ND;11.62;1.916;0.393;1.409;15.34;0.200;292.6;5.256;5.211;3.780;0.605;ND;ND;ND;ND
15.255;23/12/2015;SANTANDER;VÉLEZ;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;6.49;11.29;4.441;2.676;ND;ND;18.78;1.474;0.402;1.126;21.78;0.207;104.1;2.12;3.594;3.623;0.428;ND;ND;ND;ND
15.256;23/12/2015;SANTANDER;CHIPATÁ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI (15-15-15);6.18;8.077;10.59;3.455;ND;ND;14.75;1.530;0.389;0.820;17.49;0.270;629.6;< 1.0;4.668;4.391;0.378;ND;ND;ND;ND
15.258;23/12/2015;SANTANDER;GÜEPSA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;6.22;10.44;5.684;3.766;ND;ND;18.65;1.366;0.339;0.888;21.25;0.234;101.2;1.314;2.052;3.368;0.353;ND;ND;ND;ND
15.259;23/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI (15-15-15);6.34;13.14;18.80;4.233;ND;ND;15.51;1.762;0.274;0.804;18.35;0.307;80.79;< 1.0;2.355;2.307;0.403;ND;ND;ND;ND
15.260;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;5.059;8.029;9.395;5.012;1.307;0.937;12.93;0.684;0.317;0.893;16.13;0.201;475.7;1.259;10.31;2.446;0.353;ND;ND;ND;ND
15.262;23/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;5.24;5.757;7.971;6.568;2.412;1.957;6.577;1.969;0.474;2.176;13.61;0.159;387.8;2.254;24.43;2.570;0.428;ND;ND;ND;ND
15.264;29/12/2015;SANTANDER;GÜEPSA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;CAÑA;7.98;4.153;5.368;8.396;ND;ND;8.909;1.688;0.169;0.201;10.96;0.740;34.16;2.806;3.310;12.47;0.163;ND;ND;ND;ND
15.266;29/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;4.690;4.152;47.76;3.942;3.710;3.359;3.849;1.182;0.258;0.226;9.226;0.273;633.8;2.177;13.70;2.490;0.271;ND;ND;ND;ND
15.267;29/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;4.75;3.238;8.771;3.306;7.786;0.443;5.062;0.695;0.320;0.187;14.05;0.181;514.9;1.282;21.71;2.406;0.163;ND;ND;ND;ND
15.268;29/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;5;5.735;8.656;3.561;0.740;0.504;11.07;1.263;0.236;0.212;13.52;0.332;477.4;1.171;14.60;2.551;0.163;ND;ND;ND;ND
15.270;29/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;4.900;3.979;7.837;3.433;4.258;3.462;4.777;0.487;0.189;0.184;9.898;0.188;486.4;1.140;2.375;1.905;0.163;ND;ND;ND;ND
15.271;29/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;4.639;5.116;17.28;3.815;3.258;2.627;2.285;0.426;0.234;0.209;6.415;0.223;437.4;1.201;4.121;1.431;0.244;ND;ND;ND;ND
15.272;29/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;4.860;6.674;21.96;4.070;2.931;2.926;3.682;0.462;0.204;0.260;7.540;0.196;517.3;1.050;14.87;2.008;0.163;ND;ND;ND;ND
15.273;29/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;5.52;6.279;8.168;3.688;ND;ND;21.28;2.069;0.393;0.515;24.26;0.275;381.2;1.212;11.56;2.033;0.163;ND;ND;ND;ND
15.274;29/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;4.47;3.312;12.13;4.579;3.402;2.699;2.015;0.385;0.199;0.581;6.584;0.204;413.1;1.087;10.92;1.779;0.163;ND;ND;ND;ND
15.275;29/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;4.67;3.040;12.30;3.306;3.623;3.122;4.304;0.747;0.205;0.176;9.057;0.191;353.1;1.328;17.87;2.159;0.163;ND;ND;ND;ND
15.276;29/12/2015;SANTANDER;CHIPATÁ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI (15-15-15);5.37;3.609;31.93;5.215;0.576;0.370;12.23;1.326;0.322;0.379;14.84;0.205;437.0;7.027;10.51;6.644;0.163;ND;ND;ND;ND
15.288;29/12/2015;SANTANDER;CHIPATÁ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;8.01;5.116;2.468;3.306;ND;ND;25.43;1.094;0.264;0.200;26.99;0.685;34.42;< 1.0;3.511;< 1.0;0.487;ND;ND;ND;ND
15.289;29/12/2015;SANTANDER;CHIPATÁ;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;7.38;9.541;13.81;5.088;ND;ND;4.824;1.825;0.542;0.225;7.418;0.374;27.72;< 1.0;3.754;1.123;0.487;ND;ND;ND;ND
15.290;29/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;4.59;5.388;6.143;3.942;4.460;3.936;1.682;0.685;0.219;0.216;7.263;0.217;783.8;1.439;6.051;< 1.0;0.271;ND;ND;ND;ND
15.293;29/12/2015;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI (15-15-15);5.49;5.933;6.301;4.197;0;0;9.455;2.120;0.664;0.218;12.46;0.347;558.0;1.213;5.16;1.794;0.460;ND;ND;ND;ND
15.296;29/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;SI;5.18;5.042;17.35;5.215;0.538;0.319;13.98;1.981;0.593;0.182;17.28;0.292;495.7;2.086;12.82;5.794;0.271;ND;ND;ND;ND
15.297;29/12/2015;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;4.49;5.067;9.991;3.942;8.968;7.656;3.227;0.531;0.297;0.202;13.22;0.248;529.1;1.358;3.422;1.228;0.325;ND;ND;ND;ND
15.300;29/12/2015;SANTANDER;CHIPATÁ;Caña Panelera;Establecido;No indica;Pendiente;No indica;No Tiene;NO;7.97;7.119;5.239;4.960;ND;ND;23.08;0.745;0.393;0.230;24.45;0.721;28.14;1.123;3.348;< 1.0;0.190;ND;ND;ND;ND
15.301;29/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;4.62;3.139;26.97;3.815;2.902;2.359;6.565;0.952;0.234;0.310;10.96;0.214;545.0;1.427;11.25;2.113;0.163;ND;ND;ND;ND
15.302;29/12/2015;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;NO;4.91;5.042;14.37;3.815;2.133;1.926;4.494;0.658;0.342;0.152;7.781;0.206;323.3;1.45;8.586;2.187;0.163;ND;ND;ND;ND
